iter	Passed	Remaining
828	18837	3885
829	18859	3862
830	18889	3841
831	18915	3819
832	18939	3796
833	18963	3774
834	18985	3751
835	19008	3728
836	19030	3706
837	19054	3683
838	19076	3660
839	19096	3637
840	19116	3614
841	19140	3591
842	19161	3568
843	19182	3545
844	19204	3522
845	19226	3499
846	19247	3476
847	19270	3454
848	19290	3430
849	19310	3407
850	19334	3385
851	19355	3362
852	19378	3339
853	19399	3316
854	19420	3293
855	19441	3270
856	19465	3247
857	19488	3225
858	19509	3202
859	19533	3179
860	19555	3156
861	19576	3134
862	19599	3111
863	19624	3088
864	19651	3067
865	19676	3044
866	19702	3022
867	19729	3000
868	19756	2978
869	19781	2955
870	19805	2933
871	19831	2911
872	19853	2888
873	19882	2866
874	19909	2844
875	19930	2821
876	19953	2798
877	19974	2775
878	19997	2752
879	20020	2730
880	20045	2707
881	20065	2684
882	20083	2661
883	20104	2638
884	20125	2615
885	20146	2592
886	20166	2569
887	20187	2546
888	20208	2523
889	20230	2500
890	20248	2477
891	20269	2454
892	20290	2431
893	20312	2408
894	20319	2383
895	20337	2360
896	20359	2337
897	20382	2315
898	20400	2291
899	20424	2269
900	20443	2246
901	20463	2223
902	20483	2200
903	20503	2177
904	20533	2155
905	20562	2133
906	20586	2110
907	20612	2088
908	20645	2066
909	20674	2044
910	20699	2022
911	20727	2000
912	20751	1977
913	20776	1954
914	20798	1932
915	20823	1909
916	20848	1887
917	20879	1865
918	20910	1843
919	20938	1820
920	20962	1798
921	20990	1775
922	21021	1753
923	21055	1731
924	21087	1709
925	21117	1687
926	21141	1664
927	21171	1642
928	21202	1620
929	21223	1597
930	21255	1575
931	21285	1552
932	21309	1530
933	21336	1507
934	21360	1484
935	21389	1462
936	21416	1439
937	21440	1417
938	21464	1394
939	21488	1371
940	21511	1348
941	21542	1326
942	21570	1303
943	21601	1281
944	21632	1259
945	21655	1236
946	21676	1213
947	21699	1190
948	21725	1167
949	21747	1144
950	21769	1121
951	21789	1098
952	21810	1075
953	21832	1052
954	21861	1030
955	21890	1007
956	21919	984
957	21940	961
958	21964	939
959	21988	916
960	22012	893
961	22035	870
962	22055	847
963	22078	824
964	22105	801
965	22128	778
966	22156	756
967	22180	733
968	22205	710
969	22234	687
970	22259	664
971	22283	641
972	22308	619
973	22338	596
974	22364	573
975	22390	550
976	22416	527
977	22442	504
978	22467	481
979	22495	459
980	22521	436
981	22546	413
982	22570	390
983	22596	367
984	22626	344
985	22651	321
986	22673	298
987	22697	275
988	22719	252
989	22741	229
990	22763	206
991	22784	183
992	22806	160
993	22828	137
994	22857	114
995	22885	91
996	22906	68
997	22928	45
998	22950	22
999	22975	0
